,ID,fq,comp,A,B,C,TMIN,TMAX
247,249,C6H10,3-METHYLCYCLOPENTENE,6.87259,1165.6,227.0,-10,119.0
248,250,C6H10,4-METHYLCYCLOPENTENE,6.87015,1197.6,225.0,-2,130.0
249,251,C6H10O,CYCLOHEXANONE,6.97851,1495.58,209.559,90,166.0
250,252,C6H12,1-HEXENE,6.86572,1152.971,225.849,-29,87.0
251,253,C6H12,"2-HEXENE,CIS",7.03805,1258.571,233.851,-25,92.0
252,254,C6H12,"2-HEXENE,TRANS",6.89342,1173.343,224.53,-25,91.0
253,255,C6H12,"3-HEXENE,CIS",6.87854,1164.134,224.749,-27,90.0
254,256,C6H12,"3-HEXENE,TRANS",6.9178,1180.707,225.384,-26,90.0
255,257,C6H12,2-METHYL-1-PENTENE,6.8503,1138.516,224.704,-30,85.0
256,258,C6H12,3-METHYL-1-PENTENE,6.75523,1086.316,226.204,-37,77.0
257,259,C6H12,4-METHYL-1-PENTENE,6.83529,1121.302,229.687,-38,77.0
258,260,C6H12,2-METHYL-2-PENTENE,6.92367,1183.837,225.514,-26,90.0
259,261,C6H12,"3-METHYL-2-PENTENE,CIS",6.91073,1186.402,226.696,-26,91.0
260,262,C6H12,"3-METHYL-2-PENTENE,TRANS",6.92634,1194.527,224.833,-23,94.0
261,263,C6H12,"4-METHYL-2-PENTENE,CIS",6.84129,1120.707,226.586,-35,79.0
262,264,C6H12,"4-METHYL-2-PENTENE,TRANS",6.8803,1142.874,227.143,-33,81.0
263,265,C6H12,2-ETHYL-1-BUTENE,6.99712,1218.352,231.3,-28,88.0
264,266,C6H12,"2,3-DIMETHYL-1-BUTENE",6.86236,1134.675,229.367,-36,78.0
265,267,C6H12,"3,3-DIMETHYL-1-BUTENE",6.67751,1010.516,224.909,-47,64.0
266,268,C6H12,"2,3-DIMETHYL-2-BUTENE",6.95058,1215.428,225.443,-21,97.0
267,269,C6H12,CYCLOHEXANE,6.8413,1201.531,222.647,6,105.0
268,270,C6H12,METHYLCYCLOPENTANE,6.86283,1186.059,226.042,-24,96.0
269,271,C6H12O,CYCLOHEXANOL,6.2553,912.87,109.13,94,161.0
270,272,C6H12O,HEXANAL,6.71442,1316.0,215.01,64,156.0
271,273,C6H12S,THIACYCLOHEPTANE,6.90523,1422.47,211.72,78,169.0
272,274,C6H14,HEXANE,6.87024,1168.72,224.21,-25,92.0
273,275,C6H14,2-METHYLPENTANE,6.8391,1135.41,226.572,-32,83.0
274,276,C6H14,3-METHYLPENTANE,6.81887,1152.368,227.129,-29,89.0
275,277,C6H14,"2,2-DIMETHYLBUTANE",6.75483,1081.176,229.343,-41,73.0
276,278,C6H14,"2,3-DIMETHYLBUTANE",6.80983,1127.187,228.9,-35,81.0
277,279,C6H14O,PROPYL-ETHER,6.9476,1256.5,219.0,26,89.0
278,280,C6H14O,ISOPROPYL-ETHER,7.0971,1257.6,230.01,-24,91.0
279,281,C6H14O,1-HEXANOL,7.8604,1761.26,196.67,35,157.0
280,282,C6H14S,BUTYL-ETHYL-SULFIDE,6.94102,1421.32,205.81,33,172.0
281,283,C6H14S,ISOPROPYL-SULFIDE,6.87118,1327.12,212.55,13,147.0
282,284,C6H14S,METHYL-PENTYL-SULFIDE,7.11609,1413.44,205.73,70,153.0
283,285,C6H14S,PROPYL-SULFIDE,6.93577,1413.44,205.73,32,170.0
284,286,C6H14S,1-HEXANETHIOL,6.94664,1454.004,204.954,40,181.0
285,287,C6H14S2,PROPYL-DISULFIDE,6.97529,1603.793,195.848,73,226.0
286,288,C6H15N,TRIETHYLAMINE,6.8989,1251.8,222.01,-13,127.0
287,289,C7H5F3,"A,A,A-TRIFLUOROTOLUENE",6.97045,1306.35,217.38,55,139.0
288,290,C7H5N,BENZONITRILE,7.72911,2110.572,244.819,28,191.0
